COMMENT ##############################################################################
COMMENT Business Entity : Job
COMMENT ##############################################################################
METADATA|Job|SourceSystemOwner|SourceSystemId|Name|JobCode|SetCode|ActiveStatus|EffectiveStartDate|EffectiveEndDate|RegularTemporary|SourceRefTableName=JOBCODE_TBL|SourceRef001=Job_ID
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB15|XX_AT_RES1 Payroll Manager|XX_AT_RES1 PM|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB15

COMMENT Training and Development Jobs
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB16|XX_AT_RES1 Chief Training Officer|XX_AT_RES1 CTO|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB16
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB17|XX_AT_RES1 T&D Regional Coach|XX_AT_RES1 TRC|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB17
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB18|XX_AT_RES1 T&D Market Coach|XX_AT_RES1 TMC|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB18
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB19|XX_AT_RES1 T&D Trainer|XX_AT_RES1 TR|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB19

COMMENT Claims Jobs
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB20|XX_AT_RES1 Claims Manager|XX_AT_RES1 CM|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB20
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB21|XX_AT_RES1 Claims Specialist|XX_AT_RES1 CS|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB21

COMMENT Information Technology Jobs
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB22|XX_AT_RES1 Chief Information Officer|XX_AT_RES1 CIO|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB22
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB23|XX_AT_RES1 Software Developer|XX_AT_RES1 SD|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB23
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB24|XX_AT_RES1 Web Developer|XX_AT_RES1 WD|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB24
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB25|XX_AT_RES1 Network Integration Specialist|XX_AT_RES1 NIS|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB25
MERGE|Job|XX_AT|XX_AT_PROJ1R_JOB26|XX_AT_RES1 Support Specialist|XX_AT_RES1 SS|COMMON|A|1950/01/01|4712/12/31|R||XX_AT_PROJ1R_JOB26
